·Ó¤ù,ºØÃş,°_ÂI(x¶b),°_ÂI(y¶b),ªø«×,¼e«×
img1002,0,688,1067,72,13
img1002,3,932,784,12,22
img1002,1,898,620,20,48
img1002,0,607,841,29,57
img1002,0,558,720,43,39
img1002,0,901,721,26,61
img1002,0,653,929,62,30
img1002,0,809,879,53,64
img1002,3,834,816,23,12
img1002,0,1046,624,27,51
img1002,2,968,636,12,15
img1002,3,936,814,10,23
img1002,3,836,778,24,15
img1002,3,846,767,23,18
img1002,3,968,636,12,22
img1002,0,994,610,26,51
img1002,0,1000,832,30,55
img1002,0,655,929,61,30
img1002,0,900,721,27,61
img1002,0,960,761,27,58
img1002,0,957,683,25,50
img1002,3,1354,1052,27,15
img1002,0,994,610,26,52
img1002,0,1328,903,68,33
img1002,0,1329,903,68,33
img1003,0,1054,297,69,34
img1003,0,1301,155,66,35
img1003,0,1394,249,81,34
img1003,0,819,246,36,81
img1003,0,980,656,33,72
img1003,0,775,240,30,74
img1003,0,1557,380,60,51
img1003,0,821,864,32,70
img1003,0,1196,636,72,34
img1003,0,675,468,72,33
img1003,0,647,641,78,33
img1003,0,988,569,33,72
img1003,0,865,219,30,64
img1003,0,1274,23,72,34
img1003,0,962,804,72,34
img1003,0,651,692,72,31
img1003,0,963,844,69,30
img1003,0,959,763,69,30
img1003,0,1086,610,78,31
img1003,0,663,280,60,38
img1003,0,1174,399,72,34
img1003,0,1180,439,74,34
img1003,0,1097,802,69,31
img1003,0,868,834,35,72
img1003,0,670,328,63,31
img1003,0,1105,853,74,33
img1003,0,1660,549,56,60
img1003,0,1101,761,74,30
img1003,0,1099,722,75,31
img1003,0,1629,367,78,38
img1003,0,673,563,66,30
img1003,0,679,603,72,31
img1003,0,1206,838,72,34
img1003,0,1063,343,69,30
img1003,0,1198,673,72,34
img1003,0,1200,752,78,38
img1003,0,1094,685,74,30
img1003,0,1164,361,78,35
img1003,0,1196,484,60,31
img1003,0,661,234,74,38
img1003,0,1341,580,66,31
img1003,0,1185,559,78,35
img1003,0,1115,895,68,33
img1003,0,1078,525,72,34
img1003,0,1201,794,74,35
img1003,0,1195,712,74,38
img1003,0,1583,566,69,57
img1003,0,1180,520,69,31
img1003,0,668,383,74,34
img1003,0,1083,566,74,35
img1003,0,865,219,30,61
img1003,0,819,246,37,79
img1003,0,774,240,32,76
img1003,0,667,385,73,33
img1003,0,664,280,60,39
img1003,0,676,470,72,31
img1003,0,663,237,74,36
img1003,0,679,604,74,31
img1003,0,675,565,64,30
img1003,0,866,219,31,61
img1003,0,667,385,74,33
img1003,0,1088,609,75,30
img1003,0,1195,483,61,33
img1003,0,664,280,59,39
img1003,0,1165,362,78,36
img1003,0,1080,525,70,33
img1003,0,1176,401,70,34
img1003,0,1181,522,70,32
img1003,0,1057,296,66,35
img1003,0,1063,345,70,30
img1003,0,1185,561,76,34
img1003,0,1182,441,72,32
img1003,0,1084,565,75,37
img1003,0,1560,379,39,37
img1003,0,1302,156,56,35
img1003,0,1274,24,72,35
img1003,0,1393,248,84,36
img1003,0,1088,609,76,30
img1003,0,1343,580,64,31
img1003,0,1175,401,72,34
img1003,0,1181,522,69,32
img1003,0,1062,345,70,30
img1003,0,1181,441,73,32
img1003,0,1281,24,64,35
img1003,0,1561,380,57,54
img1003,0,1302,158,56,34
img1003,0,1659,549,57,62
img1003,0,1342,580,63,31
img1003,0,1583,563,70,61
img1003,0,1629,368,78,38
img1003,0,648,641,78,33
img1003,0,821,865,33,73
img1003,0,653,692,70,31
img1003,0,868,834,35,75
img1003,0,676,470,70,31
img1003,0,679,604,73,32
img1003,0,980,655,35,74
img1003,0,1205,839,74,34
img1003,0,652,693,69,30
img1003,0,961,764,69,32
img1003,0,1088,609,76,33
img1003,0,1185,560,78,35
img1003,0,963,844,69,31
img1003,0,1094,686,72,31
img1003,0,1118,896,64,32
img1003,0,1202,793,73,37
img1003,0,1097,803,69,32
img1003,0,1197,484,60,32
img1003,0,987,570,34,74
img1003,0,1100,723,75,33
img1003,0,962,804,72,36
img1003,0,1181,522,69,31
img1003,0,1195,637,73,33
img1003,0,1181,442,74,31
img1003,0,1199,672,70,35
img1003,0,1201,753,78,38
img1003,0,1081,526,70,34
img1003,0,1108,854,72,32
img1003,0,1102,763,74,30
img1003,0,1195,712,75,38
img1003,0,1206,839,72,34
img1003,0,962,764,68,31
img1003,0,1094,686,70,31
img1003,0,1203,793,73,37
img1003,0,1097,803,70,32
img1003,0,1196,484,62,32
img1003,0,988,570,34,74
img1003,0,963,805,70,34
img1003,0,1182,442,72,31
img1003,0,1202,753,76,38
img1003,0,1080,526,70,34
img1003,0,1196,712,75,38
img1003,0,1101,763,74,30
img1003,0,1583,564,70,60
img1003,0,1659,549,58,62
img1004,1,1126,49,44,20
img1004,2,352,522,20,26
img1004,2,453,619,20,26
img1004,2,3,254,12,14
img1004,2,269,655,20,34
img1004,3,1178,210,9,15
img1004,3,452,619,21,26
img1004,0,1073,57,15,18
img1004,3,1132,132,9,16
img1004,0,1036,3,14,15
img1004,2,1133,130,8,11
img1004,3,1,253,15,23
img1004,3,1246,228,9,12
img1004,2,1179,205,8,11
img1004,2,239,685,18,29
img1004,0,0,512,26,61
img1004,0,1126,50,42,19
img1004,0,1576,182,51,22
img1004,0,1076,17,12,12
img1004,0,1385,318,44,30
img1004,0,0,689,23,68
img1004,2,603,682,26,38
img1004,3,499,323,24,19
img1004,2,344,710,21,39
img1004,0,1182,112,42,19
img1004,0,1201,140,26,20
img1004,1,1146,74,48,23
img1004,0,0,770,29,99
img1004,2,503,318,9,19
img1004,0,705,284,36,30
img1004,2,1246,219,9,14
img1004,0,1356,293,42,31
img1004,0,1171,103,44,20
img1004,2,1605,909,24,42
img1004,2,482,689,17,39
img1004,3,312,912,27,43
img1004,2,326,485,18,22
img1004,0,1285,219,39,33
img1004,0,1212,151,27,23
img1004,2,1579,946,32,61
img1004,0,1661,226,32,24
img1004,2,637,613,18,30
img1004,0,1475,419,57,43
img1004,2,915,673,21,34
img1004,3,294,650,18,31
img1004,0,1302,242,44,31
img1004,0,1704,194,26,23
img1004,0,1324,267,42,30
img1004,3,403,754,48,34
img1004,0,1596,168,48,20
img1004,0,1593,190,36,27
img1004,0,518,288,36,27
img1004,0,1696,231,30,23
img1004,0,1549,168,48,22
img1004,0,1767,229,32,26
img1004,0,1798,228,30,24
img1004,2,876,968,27,54
img1004,0,1625,197,30,20
img1004,3,327,494,18,30
img1004,0,830,283,38,30
img1004,3,186,924,38,60
img1004,2,391,665,23,42
img1004,2,657,714,26,42
img1004,1,1409,341,56,43
img1004,2,192,674,24,41
img1004,2,370,821,27,47
img1004,3,866,933,33,51
img1004,3,333,721,45,27
img1004,2,539,773,20,43
img1004,3,239,700,24,35
img1004,0,598,286,32,27
img1004,3,907,681,39,30
img1004,1,326,561,108,147
img1004,3,645,725,48,26
img1004,0,1650,194,30,23
img1004,2,489,661,18,42
img1004,0,1675,197,33,22
img1004,0,1705,290,44,33
img1004,0,1792,196,44,23
img1004,0,776,281,39,30
img1004,3,812,928,27,61
img1004,3,636,624,26,34
img1004,3,30,809,42,46
img1004,2,300,714,24,42
img1004,0,644,284,36,27
img1004,0,1850,196,39,23
img1004,0,366,302,71,27
img1004,2,206,634,26,38
img1004,0,1855,296,63,30
img1004,0,1264,424,45,47
img1004,3,196,776,48,34
img1004,0,124,511,63,60
img1004,0,1734,201,54,23
img1004,3,557,775,20,46
img1004,0,1445,385,54,38
img1004,0,21,398,66,45
img1004,1,63,679,111,103
img1004,0,1102,256,57,35
img1004,0,1829,244,57,27
img1004,0,243,337,50,42
img1004,0,1755,261,48,27
img1004,0,879,321,69,27
img1004,0,378,312,78,35
img1004,0,162,335,47,42
img1004,0,256,426,65,56
img1004,0,66,422,57,57
img1004,2,217,707,24,31
img1004,0,80,337,60,42
img1004,3,229,738,30,38
img1004,0,31,331,62,49
img1004,0,8,516,84,61
img1004,0,117,417,63,61
img1004,0,702,316,78,34
img1004,3,550,697,44,30
img1004,0,201,332,54,46
img1004,1,166,495,84,76
img1004,1,1607,538,81,73
img1004,2,374,783,33,42
img1004,0,0,690,80,81
img1004,0,959,319,68,27
img1004,0,288,337,51,41
img1004,0,792,319,75,31
img1004,0,1245,377,44,50
img1004,0,1667,611,75,57
img1004,0,1300,465,51,57
img1004,0,1339,530,56,57
img1004,1,1517,450,68,56
img1004,0,1414,651,78,84
img1004,0,193,570,71,60
img1004,0,1731,675,93,73
img1004,0,1371,575,72,77
img1004,3,450,620,24,19
img1004,3,352,525,23,33
img1004,0,126,516,64,52
img1004,2,327,489,17,22
img1004,1,322,558,111,81
img1004,3,1,257,15,20
img1004,0,0,512,34,59
img1004,3,499,323,25,21
img1004,3,327,494,17,31
img1004,0,258,434,64,48
img1004,1,171,501,76,73
img1004,0,377,315,76,30
img1004,0,6,520,84,56
img1004,0,519,283,37,33
img1004,0,365,302,69,27
img1004,0,599,286,32,28
img1004,0,117,413,62,64
img1004,0,196,570,70,60
img1004,0,22,396,70,44
img1004,0,65,422,57,59
img1004,0,33,331,62,52
img1004,0,79,337,61,45
img1004,0,287,339,50,40
img1004,0,246,337,48,42
img1004,0,163,335,50,44
img1004,0,201,330,53,47
img1004,3,351,525,23,33
img1004,3,635,625,29,14
img1004,1,324,558,108,81
img1004,3,329,494,16,31
img1004,0,705,282,34,31
img1004,0,878,318,69,31
img1004,0,644,282,36,30
img1004,0,778,283,35,28
img1004,0,833,282,33,31
img1004,0,701,317,78,34
img1004,0,792,317,75,33
img1004,0,1075,18,13,12
img1004,0,1135,66,29,15
img1004,0,1145,76,20,20
img1004,0,1264,423,15,46
img1004,3,1177,210,10,15
img1004,0,1058,0,20,9
img1004,0,1126,51,36,18
img1004,2,1133,130,9,11
img1004,0,1071,61,18,16
img1004,0,1037,2,14,17
img1004,3,1133,134,10,15
img1004,2,1245,221,10,14
img1004,2,1179,206,9,12
img1004,3,1243,222,14,20
img1004,0,1201,142,26,19
img1004,0,1105,260,49,31
img1004,0,1171,103,41,20
img1004,0,1183,111,42,21
img1004,0,1244,377,35,50
img1004,0,706,282,34,31
img1004,0,646,282,34,30
img1004,0,1212,151,28,22
img1004,0,879,318,69,31
img1004,0,961,319,69,29
img1004,0,831,282,34,31
img1004,0,1072,61,18,16
img1004,2,1246,221,10,14
img1004,3,1242,222,15,20
img1004,0,1201,141,26,20
img1004,0,1446,384,56,40
img1004,1,1518,449,64,57
img1004,1,1409,341,56,46
img1004,0,1324,267,40,30
img1004,0,1546,167,51,25
img1004,0,1266,424,46,47
img1004,0,1211,151,29,22
img1004,0,1290,223,36,30
img1004,0,1354,297,43,30
img1004,0,1339,530,58,59
img1004,0,1304,243,39,29
img1004,0,1383,319,46,34
img1004,0,1245,377,45,50
img1004,0,1478,419,58,46
img1004,0,1298,465,52,58
img1004,0,1708,198,22,20
img1004,0,1663,227,29,25
img1004,0,1705,291,45,34
img1004,0,1576,184,35,19
img1004,1,1606,538,88,70
img1004,0,1594,168,50,24
img1004,0,1697,231,29,25
img1004,0,1593,189,34,30
img1004,0,1796,229,32,26
img1004,0,1791,196,45,23
img1004,0,1767,231,33,26
img1004,1,1409,341,57,46
img1004,0,1626,196,28,22
img1004,0,1733,199,57,26
img1004,0,1646,194,32,24
img1004,0,1675,197,34,22
img1004,0,1546,167,47,25
img1004,0,1830,243,59,29
img1004,0,1851,195,42,25
img1004,0,1851,296,69,32
img1004,0,1753,261,49,28
img1004,0,1382,319,47,34
img1004,0,1476,419,59,46
img1004,0,1299,465,52,58
img1004,2,238,691,23,40
img1004,2,185,925,25,37
img1004,3,292,649,23,33
img1004,2,482,690,16,40
img1004,2,270,658,19,36
img1004,0,0,690,30,64
img1004,2,415,739,28,45
img1004,2,352,524,16,20
img1004,3,538,774,23,43
img1004,3,353,530,22,28
img1004,1,0,681,184,104
img1004,3,269,657,21,37
img1004,2,216,710,23,32
img1004,3,185,926,29,59
img1004,3,401,757,52,34
img1004,2,609,684,21,36
img1004,3,238,692,27,43
img1004,2,489,660,20,43
img1004,2,286,697,18,25
img1004,3,228,741,35,37
img1004,2,300,715,24,41
img1004,3,30,812,44,43
img1004,2,191,675,26,41
img1004,2,379,789,26,40
img1004,2,393,669,21,38
img1004,2,371,821,25,46
img1004,2,539,774,22,43
img1004,2,327,489,17,23
img1004,2,206,634,24,40
img1004,3,329,493,17,32
img1004,0,0,769,31,106
img1004,0,126,517,64,54
img1004,3,196,778,47,34
img1004,0,0,513,34,58
img1004,3,557,776,21,47
img1004,3,336,724,48,28
img1004,3,546,698,48,35
img1004,1,172,501,76,73
img1004,0,1,973,76,106
img1004,0,6,518,84,56
img1004,1,771,1032,58,46
img1004,2,483,690,16,40
img1004,2,414,739,28,45
img1004,3,771,1031,57,48
img1004,2,353,524,16,20
img1004,3,865,935,34,45
img1004,2,914,674,23,34
img1004,3,400,757,52,34
img1004,2,653,714,22,35
img1004,2,487,660,21,43
img1004,3,814,926,27,63
img1004,2,380,789,26,40
img1004,2,637,614,21,27
img1004,2,878,974,24,48
img1004,3,905,682,45,31
img1004,3,636,623,27,37
img1004,3,337,724,48,28
img1004,3,643,715,54,37
img1004,3,547,698,48,35
img1004,3,865,934,34,46
img1004,2,653,714,23,35
img1004,3,644,714,51,39
img1004,3,905,682,45,30
img1004,2,1464,1025,20,30
img1004,2,1581,964,18,24
img1004,2,1577,983,21,28
img1004,1,1518,450,64,56
img1004,0,1339,530,57,60
img1004,0,1298,466,52,58
img1004,0,1414,652,80,86
img1004,0,1373,574,72,79
img1004,2,1577,962,30,47
img1004,2,1606,909,22,38
img1004,1,1606,538,88,72
img1004,0,1664,608,79,60
img1004,0,1299,465,52,57
img1004,0,1372,574,72,79
img1004,0,1725,672,98,76
img1005,0,268,530,51,47
img1005,0,654,462,59,26
img1005,0,943,481,57,30
img1005,0,803,467,53,31
img1005,0,1088,494,62,27
img1005,0,1016,490,63,27
img1005,0,1456,518,60,29
img1005,0,1162,500,57,27
img1005,0,1234,502,60,30
img1005,0,1302,509,66,30
img1005,0,1380,514,66,31
img1005,0,268,531,52,46
img1005,0,944,481,15,30
img1005,0,650,460,64,28
img1005,0,803,471,53,29
img1005,0,652,460,64,28
img1005,0,944,484,56,27
img1005,0,804,471,52,29
img1005,0,1088,493,63,29
img1005,0,1016,490,64,28
img1005,0,1161,500,58,28
img1005,0,1234,502,59,30
img1005,0,1456,520,62,28
img1005,0,1381,514,66,31
img1005,0,1162,500,58,28
img1005,0,1302,510,66,28
img1005,0,1881,608,38,31
img1005,0,1455,520,61,28
img1005,0,803,470,53,30
img1005,0,651,460,63,28
img1005,0,944,486,55,26
img1005,0,1015,490,64,28
img1005,0,1160,500,60,27
img1005,0,1381,514,66,32
img1005,0,1162,500,58,27
img1005,0,1302,509,66,29
img1005,0,1234,503,59,29
img1005,0,1813,632,96,39
img1005,0,1455,519,61,29
img1006,0,495,567,17,15
img1006,0,1017,439,18,8
img1006,0,1015,430,18,10
img1006,0,1361,541,21,10
img1006,0,1151,512,18,14
img1006,0,1347,550,21,11
img1006,0,1347,519,24,11
img1006,0,1335,543,24,11
img1006,0,1326,596,27,14
img1006,0,1359,561,26,12
img1006,1,1418,673,27,23
img1006,1,1234,526,75,34
img1006,0,1014,429,20,12
img1006,0,1018,439,19,10
img1006,0,1151,511,17,13
img1006,0,1325,597,30,14
img1006,0,1351,520,21,12
img1006,0,1359,539,32,13
img1006,0,1347,549,22,13
img1006,1,1234,527,75,33
img1006,0,1336,543,26,13
img1006,0,1359,560,26,15
img1006,0,1358,539,31,13
img1006,0,1360,560,26,15
img1006,0,380,622,19,23
img1006,3,329,998,22,35
img1006,0,1326,596,28,15
img1006,0,1346,550,23,12
img1006,0,1359,540,29,12
img1006,0,1336,543,27,13
img1006,1,1235,528,74,32
img1006,0,1359,558,26,16
img1006,1,1421,674,26,24
img1006,0,1358,558,27,16
img1007,0,1791,526,81,88
img1007,0,1002,635,117,173
img1007,2,851,484,29,64
img1007,0,1719,267,114,74
img1007,0,875,592,138,199
img1007,0,606,537,158,162
img1007,0,1207,395,176,119
img1007,0,755,590,117,152
img1007,0,1403,344,153,101
img1007,0,1560,312,138,85
img1007,2,854,484,26,63
img1007,0,643,535,118,104
img1007,0,1560,319,39,80
img1007,0,1203,399,182,121
img1007,0,1402,344,164,106
img1007,0,1718,275,88,70
img1007,0,1402,343,164,106
img1007,0,1566,312,136,86
img1007,0,604,578,35,111
img1007,0,836,1018,78,55
img1007,2,855,484,26,64
img1007,0,836,1018,76,55
img1007,0,1023,639,94,104
img1007,0,1024,639,94,104
img1007,0,1204,442,178,74
img1008,0,854,145,12,6
img1008,0,820,151,11,6
img1008,0,840,148,12,6
img1008,0,899,129,12,8
img1008,0,797,547,18,14
img1008,0,1387,527,15,14
img1008,0,426,562,23,15
img1008,0,891,270,12,8
img1008,0,785,544,18,12
img1008,0,350,515,24,15
img1008,0,318,582,30,19
img1008,0,307,581,21,15
img1008,0,297,578,24,18
img1008,0,769,555,20,15
img1008,0,737,525,20,19
img1008,0,769,542,21,14
img1008,0,448,568,24,16
img1008,0,791,561,24,16
img1008,0,279,568,29,18
img1008,0,829,611,24,18
img1008,0,725,588,20,18
img1008,0,754,553,21,16
img1008,1,733,554,15,29
img1008,0,813,604,24,22
img1008,1,672,556,63,56
img1008,0,315,578,14,12
img1008,0,306,582,23,16
img1008,0,351,517,21,13
img1008,0,470,578,23,12
img1008,0,295,576,26,19
img1008,0,317,581,33,21
img1008,0,449,570,25,16
img1008,0,278,569,32,18
img1008,0,891,269,14,10
img1008,0,326,0,10,7
img1008,0,854,144,10,7
img1008,0,783,544,17,15
img1008,0,725,586,21,19
img1008,0,769,555,21,17
img1008,1,672,555,63,57
img1008,0,791,561,25,17
img1008,0,768,543,23,14
img1008,1,733,555,17,29
img1008,0,754,553,23,18
img1008,0,831,610,25,19
img1008,0,813,605,28,22
img1008,0,890,269,15,10
img1008,0,853,144,10,7
img1008,1,672,555,64,57
img1008,0,1388,529,16,12
img1008,0,470,579,23,13
img1008,0,306,581,23,17
img1008,0,349,517,22,13
img1008,0,318,582,32,20
img1008,0,278,568,31,19
img1008,0,295,577,25,18
img1008,0,350,517,23,13
img1008,0,725,587,21,18
img1008,0,769,542,22,15
img1008,0,769,556,21,16
img1008,0,754,554,23,18
img1008,1,672,556,64,55
img1008,0,812,605,27,22
img1008,0,1388,527,16,13
img1009,3,0,793,21,50
img1009,0,1191,70,36,23
img1009,0,1910,153,9,24
img1009,2,316,712,27,34
img1009,2,148,609,21,27
img1009,3,1236,169,8,12
img1009,2,1177,144,9,11
img1009,0,0,333,12,51
img1009,3,315,712,29,35
img1009,3,1174,145,12,19
img1009,2,1235,159,9,15
img1009,0,0,559,30,61
img1009,2,149,688,21,27
img1009,2,166,849,27,43
img1009,2,0,793,21,50
img1009,3,148,616,26,39
img1009,0,1081,19,20,19
img1009,0,0,440,35,74
img1009,3,1252,273,14,20
img1009,3,0,936,36,46
img1009,0,439,274,44,30
img1009,1,149,636,152,199
img1009,3,468,346,20,23
img1009,0,1204,90,27,23
img1009,1,1144,14,51,26
img1009,2,473,339,9,15
img1009,2,401,940,27,50
img1009,1,1440,337,63,51
img1009,2,92,772,24,35
img1009,3,42,828,27,41
img1009,2,40,811,27,42
img1009,0,1582,124,48,24
img1009,0,1751,197,30,27
img1009,2,478,820,21,38
img1009,0,794,267,39,34
img1009,2,436,776,27,43
img1009,0,652,266,39,33
img1009,0,1617,141,54,24
img1009,0,1215,103,32,26
img1009,0,1753,154,27,26
img1009,0,1667,156,32,23
img1009,0,1172,47,48,22
img1009,0,1708,195,38,26
img1009,2,1256,267,9,15
img1009,2,680,782,24,51
img1009,0,1317,212,48,37
img1009,0,1693,154,33,24
img1009,0,1340,244,48,33
img1009,2,30,848,24,35
img1009,3,433,300,30,20
img1009,2,446,291,14,30
img1009,3,121,753,20,38
img1009,0,1630,150,42,30
img1009,0,1860,196,32,27
img1009,0,1183,57,44,23
img1009,0,1300,188,42,38
img1009,0,1408,308,54,38
img1009,0,1827,196,36,29
img1009,2,118,840,33,50
img1009,0,1810,235,54,30
img1009,0,1377,276,50,37
img1009,3,420,824,59,39
img1009,2,353,781,23,41
img1009,2,176,1018,35,53
img1009,2,346,809,27,47
img1009,2,17,736,32,43
img1009,0,1720,157,38,23
img1009,2,233,783,27,47
img1009,3,412,937,35,60
img1009,0,733,265,42,30
img1009,0,1631,121,54,26
img1009,0,1768,271,48,38
img1009,0,1851,156,45,23
img1009,0,531,270,36,31
img1009,2,550,838,26,54
img1009,0,1789,162,57,27
img1009,3,25,885,38,46
img1009,3,154,857,56,37
img1009,0,1519,435,75,53
img1009,0,1483,390,62,46
img1009,3,665,793,54,37
img1009,0,584,268,36,30
img1009,3,234,906,62,42
img1009,0,1099,234,62,37
img1009,0,1279,441,50,54
img1009,0,124,335,57,49
img1009,0,1838,774,81,104
img1009,3,535,855,59,30
img1009,0,173,334,60,49
img1009,0,845,313,78,33
img1009,0,31,331,57,51
img1009,2,162,927,36,50
img1009,1,1569,475,80,68
img1009,1,1679,594,105,89
img1009,0,645,310,86,37
img1009,3,426,785,51,43
img1009,1,0,549,98,92
img1009,0,74,291,86,35
img1009,0,121,453,80,62
img1009,0,75,328,65,56
img1009,0,936,311,75,30
img1009,0,1322,498,60,68
img1009,0,282,305,87,41
img1009,0,747,311,84,35
img1009,0,1255,383,51,60
img1009,0,1462,749,98,114
img1009,0,14,642,90,78
img1009,0,1410,643,87,103
img1009,0,1759,689,96,76
img1009,0,1369,581,63,69
img1009,0,0,337,12,53
img1009,0,632,269,7,26
img1009,0,0,563,34,64
img1009,1,3,553,94,86
img1009,3,434,300,31,19
img1009,3,469,341,21,30
img1009,2,447,292,13,28
img1009,0,0,437,36,82
img1009,0,585,264,37,35
img1009,0,122,454,78,63
img1009,0,534,274,35,28
img1009,0,75,292,86,35
img1009,0,173,336,58,47
img1009,0,125,335,57,49
img1009,0,282,307,84,37
img1009,0,74,330,63,54
img1009,0,33,332,56,51
img1009,0,936,309,23,34
img1009,0,737,268,36,28
