EmpId,EmpShift,DeptId,Zone,DateTime,ToolScanTime,Img
EMP068,8:30,DEPT3,HQ,2023-09-11 08:31:00,0.46,HQ_20230911_EMP068
EMP034,8:30,DEPT3,HQ,2023-09-11 08:31:00,0.42,HQ_20230911_EMP034
EMP094,8:30,DEPT3,HQ,2023-09-11 08:31:00,0.52,HQ_20230911_EMP094
EMP040,8:30,DEPT4,HQ,2023-09-11 08:31:00,0.46,HQ_20230911_EMP040
EMP268,8:30,DEPT1,AZ,2023-09-11 08:31:00,1.0,AZ_20230911_EMP268
EMP047,8:30,DEPT4,HQ,2023-09-11 08:31:00,0.47,HQ_20230911_EMP047
EMP104,8:30,DEPT4,HQ,2023-09-11 08:32:00,0.48,HQ_20230911_EMP104
EMP230,8:30,DEPT1,AZ,2023-09-11 08:32:00,0.97,AZ_20230911_EMP230
EMP273,8:30,DEPT2,AZ,2023-09-11 08:32:00,1.0,AZ_20230911_EMP273
EMP229,8:30,DEPT4,AZ,2023-09-11 08:32:00,0.94,AZ_20230911_EMP229
EMP090,8:30,DEPT4,HQ,2023-09-11 08:32:00,0.46,HQ_20230911_EMP090
EMP222,8:30,DEPT4,AZ,2023-09-11 08:32:00,1.01,AZ_20230911_EMP222
EMP101,8:30,DEPT1,HQ,2023-09-11 08:33:00,0.47,HQ_20230911_EMP101
EMP266,8:30,DEPT2,AZ,2023-09-11 08:33:00,0.98,AZ_20230911_EMP266
EMP304,8:30,DEPT4,AZ,2023-09-11 08:33:00,0.97,AZ_20230911_EMP304
EMP120,8:30,DEPT3,HQ,2023-09-11 08:33:00,0.38,HQ_20230911_EMP120
EMP064,8:30,DEPT3,HQ,2023-09-11 08:33:00,0.5,HQ_20230911_EMP064
EMP299,8:30,DEPT3,AZ,2023-09-11 08:33:00,0.94,AZ_20230911_EMP299
EMP270,8:30,DEPT4,AZ,2023-09-11 08:33:00,0.95,AZ_20230911_EMP270
EMP263,8:30,DEPT3,AZ,2023-09-11 08:34:00,0.99,AZ_20230911_EMP263
EMP312,8:30,DEPT4,AZ,2023-09-11 08:34:00,1.0,AZ_20230911_EMP312
EMP284,8:30,DEPT4,AZ,2023-09-11 08:34:00,1.01,AZ_20230911_EMP284
EMP226,8:30,DEPT3,AZ,2023-09-11 08:34:00,0.92,AZ_20230911_EMP226
EMP076,8:30,DEPT2,HQ,2023-09-11 08:34:00,0.47,HQ_20230911_EMP076
EMP136,8:30,DEPT4,HQ,2023-09-11 08:34:00,0.5,HQ_20230911_EMP136
EMP098,8:30,DEPT4,HQ,2023-09-11 08:34:00,0.48,HQ_20230911_EMP098
EMP093,8:30,DEPT4,HQ,2023-09-11 08:35:00,0.47,HQ_20230911_EMP093
EMP324,8:30,DEPT4,AZ,2023-09-11 08:35:00,0.96,AZ_20230911_EMP324
EMP326,8:30,DEPT3,AZ,2023-09-11 08:35:00,0.98,AZ_20230911_EMP326
EMP115,8:30,DEPT3,HQ,2023-09-11 08:35:00,0.51,HQ_20230911_EMP115
EMP279,8:30,DEPT3,AZ,2023-09-11 08:35:00,0.94,AZ_20230911_EMP279
EMP061,8:30,DEPT4,HQ,2023-09-11 08:35:00,0.5,HQ_20230911_EMP061
EMP111,8:30,DEPT4,HQ,2023-09-11 08:35:00,0.52,HQ_20230911_EMP111
EMP227,8:30,DEPT4,AZ,2023-09-11 08:36:00,1.01,AZ_20230911_EMP227
EMP128,8:30,DEPT4,HQ,2023-09-11 08:36:00,0.48,HQ_20230911_EMP128
EMP241,8:30,DEPT4,AZ,2023-09-11 08:36:00,1.01,AZ_20230911_EMP241
EMP244,8:30,DEPT4,AZ,2023-09-11 08:36:00,1.0,AZ_20230911_EMP244
EMP046,8:30,DEPT3,HQ,2023-09-11 08:36:00,0.47,HQ_20230911_EMP046
EMP320,8:30,DEPT3,AZ,2023-09-11 08:36:00,1.04,AZ_20230911_EMP320
EMP318,8:30,DEPT4,AZ,2023-09-11 08:36:00,1.01,AZ_20230911_EMP318
EMP102,8:30,DEPT4,HQ,2023-09-11 08:36:00,0.38,HQ_20230911_EMP102
EMP335,8:30,DEPT4,AZ,2023-09-11 08:36:00,0.97,AZ_20230911_EMP335
EMP253,8:30,DEPT4,AZ,2023-09-11 08:36:00,0.97,AZ_20230911_EMP253
EMP342,8:30,DEPT4,AZ,2023-09-11 08:36:00,1.02,AZ_20230911_EMP342
EMP250,8:30,DEPT2,AZ,2023-09-11 08:36:00,1.01,AZ_20230911_EMP250
EMP293,8:30,DEPT4,AZ,2023-09-11 08:36:00,0.94,AZ_20230911_EMP293
EMP113,8:30,DEPT4,HQ,2023-09-11 08:36:00,0.44,HQ_20230911_EMP113
EMP080,8:30,DEPT4,HQ,2023-09-11 08:37:00,0.47,HQ_20230911_EMP080
EMP062,8:30,DEPT4,HQ,2023-09-11 08:37:00,0.46,HQ_20230911_EMP062
EMP345,8:30,DEPT4,AZ,2023-09-11 08:37:00,0.94,AZ_20230911_EMP345
EMP224,8:30,DEPT4,AZ,2023-09-11 08:37:00,1.04,AZ_20230911_EMP224
EMP269,8:30,DEPT4,AZ,2023-09-11 08:38:00,0.96,AZ_20230911_EMP269
EMP287,8:30,DEPT1,AZ,2023-09-11 08:38:00,0.94,AZ_20230911_EMP287
EMP069,8:30,DEPT4,HQ,2023-09-11 08:38:00,0.44,HQ_20230911_EMP069
EMP063,8:30,DEPT3,HQ,2023-09-11 08:38:00,0.38,HQ_20230911_EMP063
EMP303,8:30,DEPT3,AZ,2023-09-11 08:38:00,0.98,AZ_20230911_EMP303
EMP087,8:30,DEPT4,HQ,2023-09-11 08:38:00,0.42,HQ_20230911_EMP087
EMP116,8:30,DEPT4,HQ,2023-09-11 08:38:00,0.48,HQ_20230911_EMP116
EMP133,8:30,DEPT2,HQ,2023-09-11 08:39:00,0.51,HQ_20230911_EMP133
EMP077,8:30,DEPT4,HQ,2023-09-11 08:39:00,0.51,HQ_20230911_EMP077
EMP338,8:30,DEPT1,AZ,2023-09-11 08:39:00,0.95,AZ_20230911_EMP338
EMP347,8:30,DEPT4,AZ,2023-09-11 08:39:00,0.97,AZ_20230911_EMP347
EMP239,8:30,DEPT2,AZ,2023-09-11 08:39:00,0.98,AZ_20230911_EMP239
EMP100,8:30,DEPT1,HQ,2023-09-11 08:39:00,0.41,HQ_20230911_EMP100
EMP290,8:30,DEPT2,AZ,2023-09-11 08:39:00,0.93,AZ_20230911_EMP290
EMP066,8:30,DEPT1,HQ,2023-09-11 08:39:00,0.47,HQ_20230911_EMP066
EMP319,8:30,DEPT3,AZ,2023-09-11 08:39:00,0.94,AZ_20230911_EMP319
EMP086,8:30,DEPT3,HQ,2023-09-11 08:39:00,0.42,HQ_20230911_EMP086
EMP130,8:30,DEPT4,HQ,2023-09-11 08:39:00,0.5,HQ_20230911_EMP130
EMP298,8:30,DEPT4,AZ,2023-09-11 08:40:00,0.99,AZ_20230911_EMP298
EMP333,8:30,DEPT2,AZ,2023-09-11 08:40:00,0.96,AZ_20230911_EMP333
EMP247,8:30,DEPT1,AZ,2023-09-11 08:40:00,0.94,AZ_20230911_EMP247
EMP117,8:30,DEPT3,HQ,2023-09-11 08:40:00,0.47,HQ_20230911_EMP117
EMP354,8:30,DEPT3,AZ,2023-09-11 08:41:00,0.93,AZ_20230911_EMP354
EMP311,8:30,DEPT2,AZ,2023-09-11 08:41:00,0.93,AZ_20230911_EMP311
EMP106,8:30,DEPT3,HQ,2023-09-11 08:41:00,0.52,HQ_20230911_EMP106
EMP300,8:30,DEPT3,AZ,2023-09-11 08:41:00,1.0,AZ_20230911_EMP300
EMP124,8:30,DEPT4,HQ,2023-09-11 08:41:00,0.46,HQ_20230911_EMP124
EMP051,8:30,DEPT3,HQ,2023-09-11 08:41:00,0.42,HQ_20230911_EMP051
EMP296,8:30,DEPT4,AZ,2023-09-11 08:41:00,0.98,AZ_20230911_EMP296
EMP349,8:30,DEPT2,AZ,2023-09-11 08:41:00,0.97,AZ_20230911_EMP349
EMP294,8:30,DEPT3,AZ,2023-09-11 08:41:00,0.97,AZ_20230911_EMP294
EMP037,8:30,DEPT4,HQ,2023-09-11 08:42:00,0.44,HQ_20230911_EMP037
EMP233,8:30,DEPT2,AZ,2023-09-11 08:42:00,0.92,AZ_20230911_EMP233
EMP283,8:30,DEPT3,AZ,2023-09-11 08:42:00,0.98,AZ_20230911_EMP283
EMP330,8:30,DEPT4,AZ,2023-09-11 08:42:00,0.98,AZ_20230911_EMP330
EMP228,8:30,DEPT3,AZ,2023-09-11 08:42:00,0.97,AZ_20230911_EMP228
EMP110,8:30,DEPT2,HQ,2023-09-11 08:42:00,0.51,HQ_20230911_EMP110
EMP344,8:30,DEPT4,AZ,2023-09-11 08:42:00,0.99,AZ_20230911_EMP344
EMP127,8:30,DEPT3,HQ,2023-09-11 08:43:00,0.42,HQ_20230911_EMP127
EMP119,8:30,DEPT4,HQ,2023-09-11 08:43:00,0.44,HQ_20230911_EMP119
EMP251,8:30,DEPT1,AZ,2023-09-11 08:43:00,0.98,AZ_20230911_EMP251
EMP351,8:30,DEPT4,AZ,2023-09-11 08:43:00,0.95,AZ_20230911_EMP351
EMP049,8:30,DEPT1,HQ,2023-09-11 08:43:00,0.48,HQ_20230911_EMP049
EMP045,8:30,DEPT4,HQ,2023-09-11 08:43:00,0.44,HQ_20230911_EMP045
EMP114,8:30,DEPT4,HQ,2023-09-11 08:44:00,0.47,HQ_20230911_EMP114
EMP278,8:30,DEPT4,AZ,2023-09-11 08:44:00,1.02,AZ_20230911_EMP278
EMP267,8:30,DEPT3,AZ,2023-09-11 08:44:00,0.94,AZ_20230911_EMP267
EMP095,8:30,DEPT4,HQ,2023-09-11 08:44:00,0.42,HQ_20230911_EMP095
EMP280,8:30,DEPT1,AZ,2023-09-11 08:44:00,0.99,AZ_20230911_EMP280
EMP072,8:30,DEPT2,HQ,2023-09-11 08:44:00,0.47,HQ_20230911_EMP072
EMP323,8:30,DEPT4,AZ,2023-09-11 08:45:00,1.01,AZ_20230911_EMP323
EMP271,8:30,DEPT3,AZ,2023-09-11 08:45:00,0.97,AZ_20230911_EMP271
EMP265,8:30,DEPT3,AZ,2023-09-11 08:45:00,0.91,AZ_20230911_EMP265
EMP289,8:30,DEPT2,AZ,2023-09-11 08:45:00,1.02,AZ_20230911_EMP289
EMP325,8:30,DEPT4,AZ,2023-09-11 08:46:00,0.94,AZ_20230911_EMP325
EMP109,8:30,DEPT3,HQ,2023-09-11 08:46:00,0.51,HQ_20230911_EMP109
EMP297,8:30,DEPT1,AZ,2023-09-11 08:46:00,0.91,AZ_20230911_EMP297
EMP042,8:30,DEPT1,HQ,2023-09-11 08:46:00,0.44,HQ_20230911_EMP042
EMP264,8:30,DEPT4,AZ,2023-09-11 08:46:00,0.97,AZ_20230911_EMP264
EMP135,8:30,DEPT1,HQ,2023-09-11 08:46:00,0.41,HQ_20230911_EMP135
EMP043,8:30,DEPT4,HQ,2023-09-11 08:46:00,0.48,HQ_20230911_EMP043
EMP292,8:30,DEPT1,AZ,2023-09-11 08:47:00,0.97,AZ_20230911_EMP292
EMP274,8:30,DEPT4,AZ,2023-09-11 08:47:00,0.96,AZ_20230911_EMP274
EMP085,8:30,DEPT2,HQ,2023-09-11 08:47:00,0.44,HQ_20230911_EMP085
EMP316,8:30,DEPT4,AZ,2023-09-11 08:47:00,1.01,AZ_20230911_EMP316
EMP078,8:30,DEPT4,HQ,2023-09-11 08:47:00,0.46,HQ_20230911_EMP078
EMP255,8:30,DEPT3,AZ,2023-09-11 08:47:00,0.94,AZ_20230911_EMP255
EMP331,8:30,DEPT3,AZ,2023-09-11 08:47:00,0.93,AZ_20230911_EMP331
EMP071,8:30,DEPT4,HQ,2023-09-11 08:47:00,0.5,HQ_20230911_EMP071
EMP275,8:30,DEPT4,AZ,2023-09-11 08:48:00,1.03,AZ_20230911_EMP275
EMP103,8:30,DEPT4,HQ,2023-09-11 08:48:00,0.46,HQ_20230911_EMP103
EMP033,8:30,DEPT4,HQ,2023-09-11 08:48:00,0.48,HQ_20230911_EMP033
EMP089,8:30,DEPT4,HQ,2023-09-11 08:48:00,0.52,HQ_20230911_EMP089
EMP353,8:30,DEPT2,AZ,2023-09-11 08:48:00,1.01,AZ_20230911_EMP353
EMP243,8:30,DEPT3,AZ,2023-09-11 08:48:00,1.02,AZ_20230911_EMP243
EMP035,8:30,DEPT2,HQ,2023-09-11 08:48:00,0.42,HQ_20230911_EMP035
EMP281,8:30,DEPT4,AZ,2023-09-11 08:48:00,0.94,AZ_20230911_EMP281
EMP301,8:30,DEPT1,AZ,2023-09-11 08:48:00,0.96,AZ_20230911_EMP301
EMP123,8:30,DEPT4,HQ,2023-09-11 08:48:00,0.46,HQ_20230911_EMP123
EMP346,8:30,DEPT4,AZ,2023-09-11 08:48:00,1.01,AZ_20230911_EMP346
EMP083,8:30,DEPT3,HQ,2023-09-11 08:49:00,0.47,HQ_20230911_EMP083
EMP132,8:30,DEPT2,HQ,2023-09-11 08:49:00,0.5,HQ_20230911_EMP132
EMP054,8:30,DEPT4,HQ,2023-09-11 08:49:00,0.52,HQ_20230911_EMP054
EMP262,8:30,DEPT4,AZ,2023-09-11 08:49:00,0.97,AZ_20230911_EMP262
EMP291,8:30,DEPT1,AZ,2023-09-11 08:49:00,1.0,AZ_20230911_EMP291
EMP232,8:30,DEPT3,AZ,2023-09-11 08:49:00,0.97,AZ_20230911_EMP232
EMP337,8:30,DEPT4,AZ,2023-09-11 08:49:00,1.01,AZ_20230911_EMP337
EMP260,8:30,DEPT3,AZ,2023-09-11 08:49:00,0.96,AZ_20230911_EMP260
EMP321,8:30,DEPT4,AZ,2023-09-11 08:49:00,1.01,AZ_20230911_EMP321
EMP314,8:30,DEPT4,AZ,2023-09-11 08:50:00,1.0,AZ_20230911_EMP314
EMP088,8:30,DEPT1,HQ,2023-09-11 08:50:00,0.44,HQ_20230911_EMP088
EMP252,8:30,DEPT1,AZ,2023-09-11 08:50:00,1.0,AZ_20230911_EMP252
EMP328,8:30,DEPT3,AZ,2023-09-11 08:50:00,0.98,AZ_20230911_EMP328
EMP308,8:30,DEPT2,AZ,2023-09-11 08:50:00,1.0,AZ_20230911_EMP308
EMP105,8:30,DEPT4,HQ,2023-09-11 08:50:00,0.42,HQ_20230911_EMP105
EMP238,8:30,DEPT3,AZ,2023-09-11 08:51:00,0.95,AZ_20230911_EMP238
EMP231,8:30,DEPT3,AZ,2023-09-11 08:51:00,1.0,AZ_20230911_EMP231
EMP332,8:30,DEPT3,AZ,2023-09-11 08:51:00,1.0,AZ_20230911_EMP332
EMP315,8:30,DEPT4,AZ,2023-09-11 08:51:00,0.97,AZ_20230911_EMP315
EMP125,8:30,DEPT3,HQ,2023-09-11 08:51:00,0.47,HQ_20230911_EMP125
EMP350,8:30,DEPT3,AZ,2023-09-11 08:52:00,1.01,AZ_20230911_EMP350
EMP249,8:30,DEPT3,AZ,2023-09-11 08:52:00,0.93,AZ_20230911_EMP249
EMP236,8:30,DEPT4,AZ,2023-09-11 08:52:00,1.0,AZ_20230911_EMP236
EMP313,8:30,DEPT4,AZ,2023-09-11 08:52:00,0.94,AZ_20230911_EMP313
EMP317,8:30,DEPT3,AZ,2023-09-11 08:52:00,0.97,AZ_20230911_EMP317
EMP327,8:30,DEPT3,AZ,2023-09-11 08:52:00,0.99,AZ_20230911_EMP327
EMP277,8:30,DEPT2,AZ,2023-09-11 08:53:00,0.92,AZ_20230911_EMP277
EMP336,8:30,DEPT3,AZ,2023-09-11 08:53:00,0.97,AZ_20230911_EMP336
EMP309,8:30,DEPT4,AZ,2023-09-11 08:53:00,0.92,AZ_20230911_EMP309
EMP084,8:30,DEPT4,HQ,2023-09-11 08:54:00,0.47,HQ_20230911_EMP084
EMP240,8:30,DEPT3,AZ,2023-09-11 08:54:00,0.96,AZ_20230911_EMP240
EMP276,8:30,DEPT2,AZ,2023-09-11 08:54:00,1.0,AZ_20230911_EMP276
EMP234,8:30,DEPT1,AZ,2023-09-11 08:54:00,0.99,AZ_20230911_EMP234
EMP126,8:30,DEPT4,HQ,2023-09-11 08:54:00,0.46,HQ_20230911_EMP126
EMP122,8:30,DEPT4,HQ,2023-09-11 08:55:00,0.47,HQ_20230911_EMP122
EMP310,8:30,DEPT2,AZ,2023-09-11 08:55:00,1.01,AZ_20230911_EMP310
EMP082,8:30,DEPT3,HQ,2023-09-11 08:55:00,0.5,HQ_20230911_EMP082
EMP306,8:30,DEPT4,AZ,2023-09-11 08:55:00,0.95,AZ_20230911_EMP306
EMP295,8:30,DEPT2,AZ,2023-09-11 08:55:00,1.0,AZ_20230911_EMP295
EMP235,8:30,DEPT4,AZ,2023-09-11 08:55:00,0.93,AZ_20230911_EMP235
EMP348,8:30,DEPT4,AZ,2023-09-11 08:55:00,1.0,AZ_20230911_EMP348
EMP039,8:30,DEPT3,HQ,2023-09-11 08:56:00,0.51,HQ_20230911_EMP039
EMP334,8:30,DEPT4,AZ,2023-09-11 08:56:00,0.95,AZ_20230911_EMP334
EMP329,8:30,DEPT3,AZ,2023-09-11 08:56:00,0.91,AZ_20230911_EMP329
EMP254,8:30,DEPT3,AZ,2023-09-11 08:56:00,1.01,AZ_20230911_EMP254
EMP307,8:30,DEPT1,AZ,2023-09-11 08:56:00,1.02,AZ_20230911_EMP307
EMP286,8:30,DEPT1,AZ,2023-09-11 08:56:00,1.01,AZ_20230911_EMP286
EMP340,8:30,DEPT4,AZ,2023-09-11 08:56:00,1.0,AZ_20230911_EMP340
EMP242,8:30,DEPT4,AZ,2023-09-11 08:57:00,0.95,AZ_20230911_EMP242
EMP339,8:30,DEPT3,AZ,2023-09-11 08:57:00,1.02,AZ_20230911_EMP339
EMP256,8:30,DEPT2,AZ,2023-09-11 08:57:00,1.04,AZ_20230911_EMP256
EMP322,8:30,DEPT4,AZ,2023-09-11 08:57:00,0.92,AZ_20230911_EMP322
EMP282,8:30,DEPT3,AZ,2023-09-11 08:57:00,1.01,AZ_20230911_EMP282
EMP225,8:30,DEPT4,AZ,2023-09-11 08:59:00,1.01,AZ_20230911_EMP225
EMP237,8:30,DEPT4,AZ,2023-09-11 08:59:00,0.95,AZ_20230911_EMP237
EMP343,8:30,DEPT4,AZ,2023-09-11 08:59:00,0.93,AZ_20230911_EMP343
EMP246,8:30,DEPT1,AZ,2023-09-11 08:59:00,1.02,AZ_20230911_EMP246
EMP352,8:30,DEPT3,AZ,2023-09-11 08:59:00,1.04,AZ_20230911_EMP352
EMP388,9:00,DEPT3,AZ,2023-09-11 09:02:00,0.96,AZ_20230911_EMP388
EMP366,9:00,DEPT1,AZ,2023-09-11 09:04:00,0.94,AZ_20230911_EMP366
EMP396,9:00,DEPT1,AZ,2023-09-11 09:05:00,0.97,AZ_20230911_EMP396
EMP389,9:00,DEPT3,AZ,2023-09-11 09:06:00,0.94,AZ_20230911_EMP389
EMP395,9:00,DEPT4,AZ,2023-09-11 09:06:00,1.0,AZ_20230911_EMP395
EMP259,8:30,DEPT2,AZ,2023-09-11 09:08:00,1.01,AZ_20230911_EMP259
EMP393,9:00,DEPT2,AZ,2023-09-11 09:08:00,0.93,AZ_20230911_EMP393
EMP357,9:00,DEPT1,AZ,2023-09-11 09:08:00,0.93,AZ_20230911_EMP357
EMP385,9:00,DEPT4,AZ,2023-09-11 09:09:00,1.02,AZ_20230911_EMP385
EMP398,9:00,DEPT4,AZ,2023-09-11 09:09:00,0.98,AZ_20230911_EMP398
EMP383,9:00,DEPT1,AZ,2023-09-11 09:11:00,0.95,AZ_20230911_EMP383
EMP386,9:00,DEPT4,AZ,2023-09-11 09:11:00,0.93,AZ_20230911_EMP386
EMP369,9:00,DEPT3,AZ,2023-09-11 09:12:00,1.0,AZ_20230911_EMP369
EMP356,9:00,DEPT4,AZ,2023-09-11 09:12:00,0.97,AZ_20230911_EMP356
EMP355,9:00,DEPT1,AZ,2023-09-11 09:12:00,1.0,AZ_20230911_EMP355
EMP368,9:00,DEPT3,AZ,2023-09-11 09:13:00,0.96,AZ_20230911_EMP368
EMP360,9:00,DEPT4,AZ,2023-09-11 09:13:00,0.98,AZ_20230911_EMP360
EMP363,9:00,DEPT2,AZ,2023-09-11 09:14:00,0.93,AZ_20230911_EMP363
EMP370,9:00,DEPT3,AZ,2023-09-11 09:14:00,0.95,AZ_20230911_EMP370
EMP382,9:00,DEPT4,AZ,2023-09-11 09:14:00,1.02,AZ_20230911_EMP382
EMP390,9:00,DEPT4,AZ,2023-09-11 09:14:00,0.97,AZ_20230911_EMP390
EMP380,9:00,DEPT2,AZ,2023-09-11 09:15:00,1.0,AZ_20230911_EMP380
EMP358,9:00,DEPT4,AZ,2023-09-11 09:17:00,0.97,AZ_20230911_EMP358
EMP399,9:00,DEPT1,AZ,2023-09-11 09:17:00,0.99,AZ_20230911_EMP399
EMP391,9:00,DEPT4,AZ,2023-09-11 09:19:00,1.0,AZ_20230911_EMP391
EMP378,9:00,DEPT4,AZ,2023-09-11 09:20:00,1.0,AZ_20230911_EMP378
EMP381,9:00,DEPT4,AZ,2023-09-11 09:20:00,0.97,AZ_20230911_EMP381
EMP374,9:00,DEPT4,AZ,2023-09-11 09:21:00,1.02,AZ_20230911_EMP374
EMP367,9:00,DEPT4,AZ,2023-09-11 09:21:00,0.98,AZ_20230911_EMP367
EMP397,9:00,DEPT1,AZ,2023-09-11 09:21:00,0.94,AZ_20230911_EMP397
EMP361,9:00,DEPT4,AZ,2023-09-11 09:21:00,0.92,AZ_20230911_EMP361
EMP376,9:00,DEPT4,AZ,2023-09-11 09:23:00,1.0,AZ_20230911_EMP376
EMP379,9:00,DEPT2,AZ,2023-09-11 09:24:00,0.97,AZ_20230911_EMP379
EMP373,9:00,DEPT3,AZ,2023-09-11 09:24:00,0.92,AZ_20230911_EMP373
EMP364,9:00,DEPT4,AZ,2023-09-11 09:25:00,0.99,AZ_20230911_EMP364
EMP359,9:00,DEPT4,AZ,2023-09-11 09:27:00,1.0,AZ_20230911_EMP359
EMP375,9:00,DEPT3,AZ,2023-09-11 09:28:00,0.94,AZ_20230911_EMP375
EMP371,9:00,DEPT3,AZ,2023-09-11 09:28:00,1.03,AZ_20230911_EMP371
EMP372,9:00,DEPT1,AZ,2023-09-11 09:28:00,0.99,AZ_20230911_EMP372
EMP377,9:00,DEPT3,AZ,2023-09-11 09:28:00,0.94,AZ_20230911_EMP377
EMP384,9:00,DEPT4,AZ,2023-09-11 09:29:00,1.04,AZ_20230911_EMP384
EMP183,9:30,DEPT3,HQ,2023-09-11 09:31:00,0.38,HQ_20230911_EMP183
EMP182,9:30,DEPT1,HQ,2023-09-11 09:31:00,0.47,HQ_20230911_EMP182
EMP191,9:30,DEPT2,HQ,2023-09-11 09:31:00,0.51,HQ_20230911_EMP191
EMP193,9:30,DEPT3,HQ,2023-09-11 09:32:00,0.48,HQ_20230911_EMP193
EMP144,9:30,DEPT4,HQ,2023-09-11 09:32:00,0.51,HQ_20230911_EMP144
EMP200,9:30,DEPT4,HQ,2023-09-11 09:34:00,0.52,HQ_20230911_EMP200
EMP197,9:30,DEPT4,HQ,2023-09-11 09:34:00,0.42,HQ_20230911_EMP197
EMP181,9:30,DEPT4,HQ,2023-09-11 09:34:00,0.47,HQ_20230911_EMP181
EMP160,9:30,DEPT3,HQ,2023-09-11 09:35:00,0.5,HQ_20230911_EMP160
EMP152,9:30,DEPT1,HQ,2023-09-11 09:35:00,0.46,HQ_20230911_EMP152
EMP184,9:30,DEPT4,HQ,2023-09-11 09:35:00,0.47,HQ_20230911_EMP184
EMP151,9:30,DEPT3,HQ,2023-09-11 09:35:00,0.47,HQ_20230911_EMP151
